DN01|The Brahmā Net Brahmajāla Sutta|6623.817143
DN02|The Fruits Of The Contemplative Life Sāmaññaphala Sutta|4800.496327
DN09|About Poṭṭhapāda Poṭṭhapāda Sutta|2373.32898
DN11|To Kevaṭṭa Kevaṭṭa Sutta|1755.141224
DN12|To Lohicca Lohicca Sutta|1781.106939
DN15|The Great Causes Discourse Mahā Nidāna Sutta|1903.595102
DN16_1|The Great Total Unbinding Discourse Section 1 Mahā Parinibbāna Sutta|2061.662041
DN16_2|The Great Total Unbinding Discourse Section 2 Mahā Parinibbāna Sutta|1327.281633
DN16_3|The Great Total Unbinding Discourse Section 3 Mahā Parinibbāna Sutta|2206.432653
DN16_4|The Great Total Unbinding Discourse Section 4 Mahā Parinibbāna Sutta|1566.302041
DN16_5|The Great Total Unbinding Discourse Section 5 Mahā Parinibbāna Sutta|1731.317551
DN16_6|The Great Total Unbinding Discourse Section 6 Mahā Parinibbāna Sutta|1650.677551
DN20|The Great Meeting Mahā Samaya Sutta|848.613878
DN21|Sakka's Questions (Excerpt) Sakka-Pañha Sutta|1184.914286
DN22|The Great Establishing Of Mindfulness Discourse Mahā Satipaṭṭhāna Sutta|2477.139592
DN26|The Wheel-Turning Emperor (Excerpt) Cakkavatti Sutta|329.613061
DN29|The Inspiring Discourse Pāsādika Sutta|2926.106122
DN33_1-5|The Discourse For Reciting Together (Ones To Fives) Saṅgīti Sutta|4280.372245
DN33_6-10|The Discourse For Reciting Together (Sixes To Tens) Saṅgīti Sutta|3928.032653
DN34_1_5|Progressing By Tens (Ones To Fives) Dasuttara Sutta|1587.356735
DN34_6_10|Progressing By Tens (Sixes To Tens) Dasuttara Sutta|4368.561633
